[NEWS] 10:59:59 Day=2 tick触发: 哔哩 哔哩控股 | 模板=🔻 哔哩控股 高管减持，股价承压！ | 持续=3天
[NEWS] 10:59:59 Day=2 tick触发: 顺丰 顺丰控股 | 模板=🌟 顺丰控股 入选指数成分股！ | 持续=4天
[NEWS] 11:05:04 Day=3 tick触发: 恒瑞 恒瑞控股 | 模板=🔥 恒瑞控股 业绩预增，机构看好！ | 持续=5天
[NEWS] 11:05:04 Day=3 tick触发: 万科 万科控股 | 模板=💸 万科控股 债务压力加剧！ | 持续=2天
[NEWS] 11:05:48 Day=4 tick触发: 中芯 中芯控股 | 模板=⚡ 中芯控股 面临监管调查！ | 持续=3天
[NEWS_FALLBACK] 12:04:51 Day=2 全市场兜底触发: 万科 万科控股 | 模板=💰 万科控股 分红超预期，利好公告！ | 持续=4天
[NEWS] 12:06:09 Day=3 tick触发: 腾讯 腾讯控股 | 模板=⚡ 腾讯控股 面临监管调查！ | 持续=1天
[NEWS] 12:06:09 Day=3 tick触发: 平安 平安控股 | 模板=⚡ 平安控股 面临监管调查！ | 持续=2天
[NEWS] 12:06:09 Day=3 tick触发: 中石油 中石油控股 | 模板=⚡ 中石油控股 面临监管调查！ | 持续=1天
[NEWS] 12:06:09 Day=3 tick触发: 恒瑞 恒瑞控股 | 模板=⚡ 恒瑞控股 面临监管调查！ | 持续=2天
[NEWS] 12:06:09 Day=3 tick触发: 宁德 宁德控股 | 模板=💰 宁德控股 分红超预期，利好公告！ | 持续=5天
[NEWS_FALLBACK] 12:06:39 Day=4 全市场兜底触发: 顺丰 顺丰控股 | 模板=💰 顺丰控股 分红超预期，利好公告！ | 持续=4天
[NEWS] 12:07:25 Day=5 tick触发: 美的 美的控股 | 模板=🔻 美的控股 高管减持，股价承压！ | 持续=3天
[NEWS] 12:08:46 Day=6 tick触发: 隆平 隆平控股 | 模板=⚠️ 隆平控股 遭遇做空，警惕风险！ | 持续=4天
[NEWS] 12:08:46 Day=6 tick触发: 比亚迪 比亚迪控股 | 模板=🌟 比亚迪控股 入选指数成分股！ | 持续=5天
[NEWS] 12:09:21 Day=7 tick触发: 中石油 中石油控股 | 模板=⚡ 中石油控股 面临监管调查！ | 持续=1天
[NEWS] 12:09:21 Day=7 tick触发: 中车 中车控股 | 模板=💰 中车控股 分红超预期，利好公告！ | 持续=5天
[NEWS] 12:10:40 Day=8 tick触发: 哔哩 哔哩控股 | 模板=🌟 哔哩控股 入选指数成分股！ | 持续=2天
[NEWS] 12:10:40 Day=8 tick触发: 中芯 中芯控股 | 模板=🔻 中芯控股 高管减持，股价承压！ | 持续=2天
[NEWS_FALLBACK] 12:10:40 Day=8 全市场兜底触发: 中石油 中石油控股 | 模板=⚠️ 中石油控股 遭遇做空，警惕风险！ | 持续=5天
[NEWS] 12:11:23 Day=9 tick触发: 腾讯 腾讯控股 | 模板=🚀 腾讯控股 技术突破，股价飙升！ | 持续=5天
[NEWS] 12:11:23 Day=9 tick触发: 船舶 船舶控股 | 模板=🌟 船舶控股 入选指数成分股！ | 持续=1天
[NEWS] 12:11:23 Day=9 tick触发: 紫金 紫金控股 | 模板=📉 紫金控股 业绩不及预期，下调评级！ | 持续=4天
[NEWS] 12:11:23 Day=9 tick触发: 宁德 宁德控股 | 模板=🌟 宁德控股 入选指数成分股！ | 持续=5天
[NEWS_FALLBACK] 12:11:23 Day=9 全市场兜底触发: 万科 万科控股 | 模板=🚀 万科控股 技术突破，股价飙升！ | 持续=4天
[NEWS_FALLBACK] 12:11:23 Day=9 全市场兜底触发: 平安 平安控股 | 模板=💸 平安控股 债务压力加剧！ | 持续=4天
[NEWS_FALLBACK] 12:12:41 Day=10 全市场兜底触发: 船舶 船舶控股 | 模板=📉 船舶控股 业绩不及预期，下调评级！ | 持续=5天
[NEWS] 12:17:23 Day=2 tick触发: 中石油 中石油控股 | 模板=💰 中石油控股 分红超预期，利好公告！ | 持续=1天
[NEWS] 12:17:23 Day=2 tick触发: 比亚迪 比亚迪控股 | 模板=💰 比亚迪控股 分红超预期，利好公告！ | 持续=3天
[NEWS] 12:18:02 Day=3 tick触发: 腾讯 腾讯控股 | 模板=🚀 腾讯控股 技术突破，股价飙升！ | 持续=5天
[NEWS] 12:18:02 Day=3 tick触发: 茅台 茅台控股 | 模板=💸 茅台控股 债务压力加剧！ | 持续=3天
[NEWS] 12:18:02 Day=3 tick触发: 隆平 隆平控股 | 模板=🔥 隆平控股 业绩预增，机构看好！ | 持续=1天
[NEWS] 12:18:02 Day=3 tick触发: 美的 美的控股 | 模板=🔻 美的控股 高管减持，股价承压！ | 持续=5天
[NEWS_FALLBACK] 12:18:02 Day=3 全市场兜底触发: 中芯 中芯控股 | 模板=🔻 中芯控股 高管减持，股价承压！ | 持续=2天
[NEWS_FALLBACK] 12:18:02 Day=3 全市场兜底触发: 平安 平安控股 | 模板=📈 平安控股 获得大订单，后市看涨！ | 持续=5天
[NEWS] 12:18:56 Day=4 tick触发: 船舶 船舶控股 | 模板=🔻 船舶控股 高管减持，股价承压！ | 持续=3天
[NEWS] 19:56:27 Day=2 tick触发: 腾讯 腾讯控股 | 模板=🔻 腾讯控股 高管减持，股价承压！ | 持续=4天
